asin,title,author,soldBy,imgUrl,productURL,stars,reviews,price,isKindleUnlimited,category_id,isBestSeller,isEditorsPick,isGoodReadsChoice,publishedDate,category_name
B087ZXSPGJ,The Four Winds: A Novel,Kristin Hannah,Macmillan,https://m.media-amazon.com/images/I/91J7Q1FdSDL._AC_UY218_.jpg,https://www.amazon.com/dp/B087ZXSPGJ,4.6,143644,11.99,False,5,False,True,False,2021-02-02,Literature & Fiction
B01M14UN1J,Before We Were Yours: A Novel,Lisa Wingate,Random House LLC,https://m.media-amazon.com/images/I/81PO2ZUxnTL._AC_UY218_.jpg,https://www.amazon.com/dp/B01M14UN1J,4.6,142735,9.99,False,5,False,False,True,2017-06-06,Literature & Fiction
B00U6SFUSS,The Alchemist,Paulo Coelho,HarperCollins Publishers,https://m.media-amazon.com/images/I/81ioPZFMeUL._AC_UY218_.jpg,https://www.amazon.com/dp/B00U6SFUSS,4.6,142456,14.99,False,5,False,False,False,2015-02-24,Literature & Fiction
B00OZP5VRS,A Court of Thorns and Roses,Sarah J. Maas,Amazon.com Services LLC,https://m.media-amazon.com/images/I/8180Uhc4BuL._AC_UY218_.jpg,https://www.amazon.com/dp/B00OZP5VRS,4.6,141372,8.21,False,5,False,True,False,,Literature & Fiction
B01IONKA7W,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,,https://m.media-amazon.com/images/I/716hCqZUafL._AC_UY218_.jpg,https://www.amazon.com/dp/B01IONKA7W,4.6,140077,0.0,False,31,False,False,False,2016-09-27,Self-Help
B019MMUA8S,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (Mark Manson Collection Book 1),Mark Manson,HarperCollins Publishers,https://m.media-amazon.com/images/I/71QKQ9mwV7L._AC_UY218_.jpg,https://www.amazon.com/dp/B019MMUA8S,4.6,140043,6.7,True,5,True,False,False,,Literature & Fiction
B07SH5V2NB,Regretting You,Colleen Hoover,Amazon.com Services LLC,https://m.media-amazon.com/images/I/91+NmjDsLOL._AC_UY218_.jpg,https://www.amazon.com/dp/B07SH5V2NB,4.5,140043,2.99,True,5,False,False,False,2019-12-10,Literature & Fiction
B06Y5WRS2C,The Great Alone: A Novel,Kristin Hannah,Macmillan,https://m.media-amazon.com/images/I/81DCCd9KYSL._AC_UY218_.jpg,https://www.amazon.com/dp/B06Y5WRS2C,4.6,139101,11.99,False,5,False,False,True,2018-02-06,Literature & Fiction
B09RX4B8R5,It Starts with Us: A Novel (It Ends with Us Book 2),Colleen Hoover,Simon and Schuster Digital Sales Inc,https://m.media-amazon.com/images/I/71PNGYHykrL._AC_UY218_.jpg,https://www.amazon.com/dp/B09RX4B8R5,4.5,138567,13.99,False,5,False,True,False,,Literature & Fiction
B07S5D5TH7,The Thursday Murder Club: (The Thursday Murder Club 1),Richard Osman,,https://m.media-amazon.com/images/I/71y7pAExT2L._AC_UY218_.jpg,https://www.amazon.com/dp/B07S5D5TH7,4.3,136950,0.0,False,5,False,True,False,2020-09-03,Literature & Fiction
B01LXCD7FU,Origin: From the author of the global phenomenon The Da Vinci Code (Robert Langdon Book 5),Dan Brown,,https://m.media-amazon.com/images/I/81bJ10xv-2L._AC_UY218_.jpg,https://www.amazon.com/dp/B01LXCD7FU,4.3,136193,0.0,False,30,False,True,False,2017-10-03,Religion & Spirituality
B00K7ED54M,Sapiens: THE MULTI-MILLION COPY BESTSELLER,Yuval Noah Harari,,https://m.media-amazon.com/images/I/713jIoMO3UL._AC_UY218_.jpg,https://www.amazon.com/dp/B00K7ED54M,4.6,135224,0.0,False,14,False,True,False,2014-09-04,Politics & Social Sciences
B00HB62MC0,Ugly Love: A Novel,Colleen Hoover,Simon and Schuster Digital Sales Inc,https://m.media-amazon.com/images/I/71E8VNPC1dL._AC_UY218_.jpg,https://www.amazon.com/dp/B00HB62MC0,4.6,134684,11.99,False,5,False,False,True,2014-08-05,Literature & Fiction
B07Q5TL9SQ,"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",Gregg Olsen,Amazon.com Services LLC,https://m.media-amazon.com/images/I/91qAOsUzCaL._AC_UY218_.jpg,https://www.amazon.com/dp/B07Q5TL9SQ,4.3,133015,2.49,True,9,True,False,False,2019-12-01,Biographies & Memoirs
B08GJZFBYV,A Promised Land,Barack Obama,Random House LLC,https://m.media-amazon.com/images/I/91D5xAOAVjL._AC_UY218_.jpg,https://www.amazon.com/dp/B08GJZFBYV,4.9,126810,17.99,False,9,False,True,False,2020-11-17,Biographies & Memoirs
B00BAXFECK,The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,Hachette Book Group,https://m.media-amazon.com/images/I/81OKGYx2LVL._AC_UY218_.jpg,https://www.amazon.com/dp/B00BAXFECK,4.1,124571,13.99,False,5,False,False,True,2013-10-22,Literature & Fiction
B015FELXQ0,A Court of Mist and Fury (A Court of Thorns and Roses Book 2),Sarah J. Maas,Amazon.com Services LLC,https://m.media-amazon.com/images/I/81zeVnhDbdL._AC_UY218_.jpg,https://www.amazon.com/dp/B015FELXQ0,4.8,124378,4.99,False,5,False,True,False,,Literature & Fiction
B07R2L2SNN,"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,HarperCollins Publishers,https://m.media-amazon.com/images/I/71eJk7GtUOL._AC_UY218_.jpg,https://www.amazon.com/dp/B07R2L2SNN,4.8,119968,11.99,True,14,False,False,False,2019-10-29,Politics & Social Sciences
B082KH5D4M,The Vanishing Half: Shortlisted for the Women's Prize 2021,Brit Bennett,,https://m.media-amazon.com/images/I/71V1QZH1q1L._AC_UY218_.jpg,https://www.amazon.com/dp/B082KH5D4M,4.4,119742,0.0,False,28,False,True,False,2020-06-02,LGBTQ+ eBooks
B07XNG5L99,The Vanishing Half: A Novel,Brit Bennett,Penguin Group (USA) LLC,https://m.media-amazon.com/images/I/71cS8NuKl6L._AC_UY218_.jpg,https://www.amazon.com/dp/B07XNG5L99,4.4,119730,12.99,False,5,False,True,False,2020-06-02,Literature & Fiction
B0881YDNDD,Too Much and Never Enough: How My Family Created the World's Most Dangerous Man,Mary L. Trump,Simon and Schuster Digital Sales Inc,https://m.media-amazon.com/images/I/71xAQhk6bCL._AC_UY218_.jpg,https://www.amazon.com/dp/B0881YDNDD,4.5,119720,13.99,False,9,False,False,True,2020-07-14,Biographies & Memoirs
B00Y6QF0PE,Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades as Told by Christian Book 1),,Amazon.com Services LLC,https://m.media-amazon.com/images/I/71Ba5gPNZIL._AC_UY218_.jpg,https://www.amazon.com/dp/B00Y6QF0PE,4.5,117876,7.99,False,5,False,False,True,,Literature & Fiction
B07FS25XTW,Normal People: A Novel,Sally Rooney,Random House LLC,https://m.media-amazon.com/images/I/715EnIVDx5L._AC_UY218_.jpg,https://www.amazon.com/dp/B07FS25XTW,4.1,115996,12.99,False,5,False,True,False,2019-04-16,Literature & Fiction
B01LOWN78Y,A Court of Wings and Ruin (A Court of Thorns and Roses Book 3),Sarah J. Maas,Amazon.com Services LLC,https://m.media-amazon.com/images/I/81Ly3JCnpHL._AC_UY218_.jpg,https://www.amazon.com/dp/B01LOWN78Y,4.8,114715,8.21,False,5,False,False,True,,Literature & Fiction
